budget;company;country;director;genre;gross;name;rating;released;runtime;score;star;votes;writer;year
1450000000;Universal Pictures;USA;Rob Cohen;Action;1024917760;The Mummy: Tomb of the Dragon Emperor;PG-13;39661;112;52;Brendan Fraser;128515;Alfred Gough;2008
0;Ealing Studios;UK;Stephan Elliott;Comedy;26563240;Easy Virtue;PG-13;39983;97;67;Jessica Biel;17579;Stephan Elliott;2008
1500000000;Columbia Pictures;USA;Peter Berg;Action;2279462740;Hancock;PG-13;39631;92;64;Will Smith;375055;Vincent Ngo;2008
700000000;Warner Bros.;USA;Ridley Scott;Action;393946660;Body of Lies;R;39731;128;71;Leonardo DiCaprio;185521;William Monahan;2008
1300000000;DreamWorks Animation;USA;Mark Osborne;Animation;2154345910;Kung Fu Panda;PG;39605;92;76;Jack Black;339024;Jonathan Aibel;2008
900000000;Paramount Pictures;USA;Mark Waters;Adventure;711950530;The Spiderwick Chronicles;PG;39492;96;66;Freddie Highmore;74370;Karey Kirkpatrick;2008
240000000;Blue Askew;USA;Kevin Smith;Comedy;314579460;Zack and Miri Make a Porno;R;39752;101;66;Seth Rogen;156855;Kevin Smith;2008
480000000;Twentieth Century Fox Film Corporation;USA;M. Night Shyamalan;Comedy;645068740;The Happening;R;39612;91;50;Mark Wahlberg;173949;M. Night Shyamalan;2008
750000000;Metro-Goldwyn-Mayer (MGM);USA;Bryan Singer;Drama;830778330;Valkyrie;PG-13;39807;121;71;Tom Cruise;197529;Christopher McQuarrie;2008
320000000;The Weinstein Company;USA;Stephen Daldry;Drama;341944070;The Reader;R;39843;124;76;Kate Winslet;202175;David Hare;2008
2250000000;Walt Disney Pictures;USA;Andrew Adamson;Action;1416214900;The Chronicles of Narnia: Prince Caspian;PG;39584;150;66;Ben Barnes;162829;Andrew Adamson;2008
500000000;Lionsgate;Germany;Sylvester Stallone;Action;427541050;Rambo 4: Regreso al Infierno;R;39472;92;70;Sylvester Stallone;189986;Art Monterastelli;2008
700000000;Warner Bros.;USA;Andy Tennant;Action;702310410;Fool's Gold;PG-13;39486;112;57;Matthew McConaughey;64098;John Claflin;2008
800000000;Warner Bros.;USA;Peter Segal;Action;1303192080;Get Smart;PG-13;39619;110;65;Steve Carell;176842;Tom J. Astle;2008
550000000;Columbia Pictures;USA;Gabriele Muccino;Drama;699518240;Seven Pounds;PG-13;39801;123;77;Will Smith;249856;Grant Nieporte;2008
280000000;Universal Pictures;Germany;David Wain;Comedy;672942700;Un par nada ejemplar;R;39759;99;69;Paul Rudd;202096;Timothy Dowling;2008
